Procesor,Iterations,result,elapsed_time,operations_s
2500K,50000000,306933103495,9.242,5409888.25
2500K,50000000,306933103495,9.106,5491080.55
2500K,50000000,306933103495,9.751,5127918.98
2500K,50000000,306933103495,9.029,5537800.11
2500K,50000000,306933103495,9.701,5153867.17
2500K,50000000,306933103495,9.046,5527249.38
2500K,50000000,306933103495,9.721,5143615.93
2500K,50000000,306933103495,9.140,5470506.83
2500K,50000000,306933103495,9.730,5138657.37
2500K,50000000,306933103495,9.026,5539487.28
2500K,50000000,306933103495,9.671,5170100.37
2500K,50000000,306933103495,9.007,5551248.08
2500K,50000000,306933103495,9.686,5162121.07
2500K,50000000,306933103495,9.041,5530074.46
2500K,50000000,306933103495,9.786,5109217.26
2500K,50000000,306933103495,9.052,5523698.04
2500K,50000000,306933103495,9.755,5125437.89
2500K,50000000,306933103495,9.024,5540677.57
2500K,50000000,306933103495,9.754,5125866.34
2500K,50000000,306933103495,9.024,5540532.80
